id,listing_url,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating,review_scores_value
819402717142520085,https://www.airbnb.com/rooms/819402717142520085,Camorim,-22.98200757718605,-43.42173372595331,Entire home/apt,3,1.0,1.0,1.0,188.0,4.72,4.76
14279265,https://www.airbnb.com/rooms/14279265,Copacabana,-22.97316,-43.19169,Entire home/apt,4,1.0,1.0,3.0,279.0,4.42,4.5
2950899,https://www.airbnb.com/rooms/2950899,Copacabana,-22.96378,-43.18078,Entire home/apt,9,3.0,3.0,4.0,806.0,4.22,4.0
1258227546509689270,https://www.airbnb.com/rooms/1258227546509689270,Copacabana,-22.96827,-43.1837,Entire home/apt,2,1.0,1.0,2.0,265.0,5.0,5.0
700117524999563018,https://www.airbnb.com/rooms/700117524999563018,Recreio dos Bandeirantes,-23.02129,-43.47895,Private room,4,1.0,1.0,1.0,307.0,5.0,5.0
16349307,https://www.airbnb.com/rooms/16349307,Centro,-22.91607,-43.17711,Private room,3,1.5,1.0,2.0,267.0,5.0,4.64
1325505898162266624,https://www.airbnb.com/rooms/1325505898162266624,Flamengo,-22.9377,-43.17921,Private room,3,2.0,1.0,2.0,148.0,5.0,4.5
11770731,https://www.airbnb.com/rooms/11770731,Flamengo,-22.92916,-43.17573,Private room,4,1.0,1.0,0.0,100.0,4.54,4.38
1061431693454428077,https://www.airbnb.com/rooms/1061431693454428077,Copacabana,-22.965493065097025,-43.17451068888551,Entire home/apt,6,1.0,2.0,3.0,278.0,4.93,4.87
5012100,https://www.airbnb.com/rooms/5012100,Ipanema,-22.98424,-43.21059,Entire home/apt,2,1.0,0.0,1.0,355.0,4.94,4.79
